node_id,collab_count,total_movies,avg_revenue,avg_rating,director_degree,actor_degree,total_films,duck_avg_revenue,avg_budget,duck_avg_rating,avg_runtime,top_language,top_genre,high_roi
David Yates,3,3,1076592094.67,7.8,6,8,6,753631779.5,137583333.33,7.75,127.5,en,"['Adventure', 'Fantasy']",1
Jason Moore,2,2,26177193.0,6.0,3,3,3,39339220.67,28000000.0,6.33,98.0,en,"['Romance', 'Fantasy', 'Drama']",0
Tim Burton,3,3,220284180.33,7.67,20,28,20,216520994.1,67800000.0,7.39,116.45,en,"['Drama', 'Thriller', 'Crime']",1
Louis Leterrier,2,2,476330036.5,6.85,6,28,6,333312904.17,85589783.83,7.03,116.83,en,"['Science Fiction', 'Action']",0
John Badham,2,2,1977576.5,6.4,6,10,6,29741761.83,14050000.0,6.17,94.33,en,"['Action', 'Comedy']",0
Ridley Scott,2,2,148115581.5,7.55,21,14,21,250343305.0,67342857.14,6.99,109.86,en,"['Comedy', 'Drama']",1
Richard Ayoade,2,2,49830482.0,6.5,2,11,2,49830482.0,26500000.0,6.5,99.0,en,"['Action', 'Crime', 'Thriller']",0
Sam Mendes,2,2,905258406.5,7.7,8,8,8,423964402.5,106000000.0,7.65,122.38,en,"['Action', 'Adventure', 'Science Fiction']",1
Jocelyn Moorhouse,2,2,2078502.5,7.2,2,4,2,2078502.5,14250000.0,7.2,101.5,en,"['Comedy', 'Horror', 'Fantasy']",0
Cary Joji Fukunaga,2,2,31889904.0,7.3,5,6,5,75794624.6,44440000.0,7.28,109.2,en,"['Science Fiction', 'Adventure', 'Action']",0
Alan J. Pakula,2,2,63846874.0,6.55,7,13,7,62384473.57,44285714.29,7.01,113.71,en,"['Romance', 'Comedy']",0
Gareth Edwards,2,2,192370566.5,6.4,5,8,5,113032586.4,39480000.0,6.24,128.2,en,['Comedy'],0
Steven Soderbergh,3,3,80573956.67,6.8,13,14,13,115352329.0,31446153.85,6.68,106.77,en,['Comedy'],1
Jon Turteltaub,2,2,9785850.0,6.1,8,22,8,143634078.63,36050000.0,6.51,107.63,en,"['Thriller', 'Horror']",0
Bennett Miller,2,2,27098949.0,7.6,2,5,2,68041546.0,30250000.0,7.6,104.5,en,"['Fantasy', 'Drama', 'Thriller', 'Romance']",0
Joel Coen,3,3,23948774.33,7.83,4,5,4,44059486.5,22500000.0,7.7,107.0,en,"['Crime', 'Drama', 'Thriller']",1
Kenneth Branagh,2,2,331903.5,7.7,13,3,13,91257982.46,30352230.77,6.86,106.77,en,"['Science Fiction', 'Action', 'Adventure']",0
Mike Nichols,2,2,125411760.0,7.2,6,6,6,113199025.17,42501807.83,6.37,107.67,en,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0
Park Chan-Wook,2,2,486354420.0,8.4,3,2,3,324920769.67,44500000.0,8.13,120.0,en,"['Adventure', 'Comedy', 'Animation', 'Family']",1
Ivan Reitman,2,2,34303469.0,7.35,8,11,8,56170738.38,28762500.0,7.21,117.88,en,"['Drama', 'History']",0
David Cronenberg,2,2,85741228.5,7.6,9,9,9,104158374.89,50555555.56,6.69,103.78,en,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",0
Justin Lin,2,2,194598686.0,7.65,2,2,2,194598686.0,52750000.0,7.65,93.0,en,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",0
Simon West,2,2,76513421.0,6.2,6,24,6,162669514.67,29166666.67,6.52,113.0,en,"['Comedy', 'Music', 'Romance']",0
Martin Scorsese,2,2,169362071.0,6.55,14,6,14,247524742.07,64392857.14,7.44,112.64,en,"['Drama', 'Thriller', 'Mystery']",0
Rob Reiner,2,2,32570213.0,6.3,6,12,6,106472591.83,40911398.17,6.53,107.33,en,"['Adventure', 'Action', 'Drama']",0
Sofia Coppola,2,2,68010883.0,6.3,5,14,5,151904587.6,48100000.0,6.7,118.8,en,['Drama'],1
Richard Linklater,2,2,9198457.5,7.95,12,13,12,112867155.08,34911666.67,7.53,108.75,en,['Drama'],1
Andrew Davis,2,2,8688560.0,6.9,6,13,6,43646921.83,36133333.33,6.13,98.83,en,"['Adventure', 'Action', 'Drama']",0
John Carpenter,2,2,27444970.0,6.2,16,5,16,84975889.0,36312500.0,6.69,106.56,en,"['Comedy', 'Romance', 'Drama']",1
Woody Allen,2,2,71225852.0,6.9,17,4,17,145225611.12,35341176.47,6.88,106.53,en,"['Action', 'Thriller']",1
Stephen Herek,2,2,15690926.5,6.4,7,8,7,50412952.71,21142857.14,6.4,109.86,en,"['Crime', 'Drama', 'Mystery', 'Thriller']",0
Phillip Noyce,2,2,10608840.0,6.2,6,9,6,47959029.0,11991716.67,7.03,100.17,en,"['Western', 'Crime', 'Drama']",0
Michel Hazanavicius,2,2,81003967.0,7.5,3,3,3,131204361.33,15355000.0,7.7,100.0,en,"['Drama', 'Comedy', 'Romance']",1
Steven Soderbergh,2,2,75016542.5,6.05,13,9,13,115352329.0,31446153.85,6.68,106.77,en,['Comedy'],1
Luca Guadagnino,2,2,18868259.5,6.7,4,4,4,63952061.0,35875000.0,6.48,114.5,en,"['Comedy', 'Drama']",0
Wes Anderson,2,2,69323401.5,7.7,13,2,13,123946693.77,60716802.31,7.36,112.31,en,['Drama'],0
Kar-Wai Wong,2,2,12564465.0,7.35,2,2,2,12564465.0,5500000.0,7.35,98.0,en,"['Comedy', 'Drama']",1
Rakeysh Omprakash Mehra,2,2,10539323.0,8.15,2,6,2,10539323.0,13100000.0,8.15,127.0,hi,"['Comedy', 'Drama', 'History']",0
James Orr,2,2,1603645.5,5.2,2,5,2,1603645.5,3500000.0,5.2,105.5,en,"['Drama', 'Horror', 'Crime']",0
Stephen Chow,2,2,115320076.5,6.85,2,2,2,115320076.5,44000000.0,6.85,120.0,en,"['Comedy', 'Romance']",0
Vincent D'Onofrio,2,2,7598998.5,5.9,2,2,2,7598998.5,31500000.0,5.9,113.0,en,"['Drama', 'Western']",0
Philip G. Atwell,2,2,33072218.0,6.2,3,4,3,35914088.67,18333333.33,6.13,116.33,en,['Drama'],0
Jeff Nichols,2,2,133776412.5,7.0,5,3,5,75196270.8,37600000.0,7.32,97.8,en,"['Action', 'Crime', 'Romance']",1
John Carpenter,2,2,42884536.5,6.7,16,2,16,84975889.0,36312500.0,6.69,106.56,en,"['Comedy', 'Romance', 'Drama']",0
Blake Edwards,2,2,4233305.5,6.0,3,4,3,2828236.0,11666666.67,5.93,115.33,en,"['Fantasy', 'Drama', 'Thriller', 'Science Fiction']",0
Roberto Benigni,2,2,36551756.5,5.8,2,3,2,36551756.5,16000000.0,5.8,98.5,ja,"['Animation', 'Action', 'Adventure', 'Fantasy']",0
Baran bo Odar,3,3,44705458.0,7.0,5,3,5,28292038.8,31590000.0,6.44,110.2,en,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",0
Deniz Gamze Ergüven,2,2,47300222.0,7.6,2,2,2,47300222.0,10650000.0,7.6,101.0,tr,['Drama'],1
Ron Howard,2,2,12821021.0,7.7,15,2,15,195606469.6,64183997.93,6.93,110.27,en,"['Drama', 'History']",0
William Friedkin,2,2,1716919.0,6.1,6,3,6,88720725.33,31216666.67,6.47,107.33,en,"['Action', 'Drama', 'Mystery', 'Thriller']",0
Hal Hartley,2,2,32185143.5,7.4,2,2,2,32185143.5,7781822.5,7.4,93.5,en,"['Comedy', 'Drama']",0
Dave Meyers,2,2,65050099.0,5.6,2,3,2,65050099.0,47500000.0,5.6,113.5,en,"['Comedy', 'Family']",0
Eric Valette,2,2,4806307.0,4.0,3,3,3,3578583.33,3095000.0,4.9,103.67,en,"['Drama', 'Science Fiction']",1
Tom McCarthy,2,2,29522595.5,7.6,5,3,5,49283697.4,20100000.0,7.68,109.8,en,"['Science Fiction', 'Thriller', 'Mystery']",1
Takeshi Kitano,3,3,21441632.0,7.33,3,3,3,21441632.0,7452457.67,7.33,101.0,en,"['Thriller', 'Drama']",0
Pedro Almodóvar,2,2,39488596.0,7.05,8,2,8,62323927.0,44750000.0,7.3,105.13,en,"['Family', 'Animation', 'Comedy', 'Science Fiction']",0
Glen Morgan,2,2,41689804.5,3.85,3,2,3,40094290.0,30000000.0,5.1,95.67,en,"['Animation', 'Family', 'Science Fiction', 'Fantasy']",0
Paul Golding,2,2,13307498.5,5.4,2,2,2,13307498.5,25000000.0,5.4,98.0,en,"['Adventure', 'Drama', 'Romance']",0
Tom McCarthy,2,2,9265918.5,7.6,5,2,5,49283697.4,20100000.0,7.68,109.8,en,"['Science Fiction', 'Thriller', 'Mystery']",0
Claude Chabrol,2,2,8114905.5,6.6,2,2,2,8114905.5,10000000.0,6.6,98.0,en,"['Crime', 'Mystery', 'Thriller', 'Action']",0
Tamra Davis,2,2,21239648.0,3.6,2,2,2,21239648.0,18800000.0,3.6,126.0,en,"['Drama', 'Romance']",0
Bradley Cooper,2,2,6140264.5,7.6,3,2,3,58664201.0,54911894.67,7.4,108.67,en,"['Science Fiction', 'Action', 'Adventure']",0
